Dre-Mir-128-P2b,Clupeocephala
Dre-Mir-144-v2,Vertebrata
Dre-Mir-430-o2d1,D. rerio
Dre-Mir-130-P2a1,Clupeocephala
Dre-Mir-430-o3a7,D. rerio
Dre-Mir-132-P2a,Clupeocephala
Dre-Mir-181-P1c2,Clupeocephala
Dre-Mir-430-o3a15,D. rerio
Dre-Mir-218-P3,Gnathostomata
Dre-Mir-30-P1o1,D. rerio
Dre-Mir-221-P2a1,Clupeocephala
Dre-Mir-21-P1,Clupeocephala
Dre-Mir-199-P2b-v1,Clupeocephala
Dre-Mir-23-P3,Gnathostomata
Dre-Mir-430-o1b7,D. rerio
Dre-Mir-203-P1-v2,Clupeocephala
Dre-Mir-26-P1b,Clupeocephala
Dre-Mir-430-o1d6,D. rerio
Dre-Mir-17-P1a1,Clupeocephala
Dre-Mir-459,Vertebrata
Dre-Mir-430-o2a4,D. rerio
Dre-Mir-142-P1-v3,Gnathostomata
Dre-Mir-430-o2a12,D. rerio
Dre-Mir-145,Vertebrata
Dre-Mir-430-o2d2,D. rerio
Dre-Mir-130-P2a2,Clupeocephala
Dre-Mir-430-o3a8,D. rerio
Dre-Mir-132-P2b,Clupeocephala
Dre-Mir-181-P2a1,Clupeocephala
Dre-Mir-430-o3a16,D. rerio
Dre-Mir-218-P4-v1,Gnathostomata
Dre-Mir-30-P2a,Gnathostomata
Dre-Mir-17-P4d,Gnathostomata
Dre-Mir-221-P2a2,Clupeocephala
Dre-Mir-21-P2,Clupeocephala
Dre-Mir-430-o1a,D. rerio
Dre-Mir-199-P2b-v2,Clupeocephala
Dre-Mir-23-P4a,Clupeocephala
Dre-Mir-430-o1b8,D. rerio
Dre-Mir-203-P2-v1,Clupeocephala
Dre-Mir-26-P2a,Clupeocephala
Dre-Mir-430-o1d7,D. rerio
Dre-Mir-17-P1a2,Clupeocephala
Dre-Mir-138-P1a,Clupeocephala
Dre-Mir-430-o2a5,D. rerio
Dre-Mir-142-P1-v4,Gnathostomata
Dre-Mir-430-o2a13,D. rerio
Dre-Mir-146-P1,Gnathostomata
Dre-Mir-430-o3a1,D. rerio
Dre-Mir-130-P2b1,Clupeocephala
Dre-Mir-430-o3a9,D. rerio
Dre-Mir-181-P2a2,Clupeocephala
Dre-Mir-430-o3b1,D. rerio
Dre-Mir-218-P4-v2,Gnathostomata
Dre-Mir-30-P2b,Gnathostomata
Dre-Mir-19-P1a1,Clupeocephala
Dre-Mir-223,Vertebrata
Dre-Mir-199-P1a-v1,Clupeocephala
Dre-Mir-430-o1b1,D. rerio
Dre-Mir-101-P1-v1,Vertebrata
Dre-Mir-199-P2b-v3,Clupeocephala
Dre-Mir-24-P1,Gnathostomata
Dre-Mir-430-o1c,D. rerio
Dre-Mir-122,Vertebrata
Dre-Mir-203-P2-v2,Clupeocephala
Dre-Mir-26-P4,Gnathostomata
Dre-Mir-430-o1e1,D. rerio
Dre-Mir-17-P2a1,Clupeocephala
Dre-Mir-138-P2,Vertebrata
Dre-Mir-430-o2a6,D. rerio
Dre-Mir-142-P2-v1,Gnathostomata
Dre-Mir-430-o2a14,D. rerio
Dre-Mir-146-P4-v1,Gnathostomata
Dre-Mir-430-o3a2,D. rerio
Dre-Mir-130-P3a1,Clupeocephala
Dre-Mir-155,Vertebrata
Dre-Mir-430-o3a10,D. rerio
